排名,▼总平均学分绩点
1,4.21
2,4.21
3,4.04
4,3.98
5,3.91
6,3.80
7,3.79
8,3.78
9,3.76
10,3.64
11,3.60
12,3.58
13,3.58
14,3.57
15,3.54
16,3.51
17,3.47
18,3.46
19,3.45
20,3.45
21,3.42
22,3.40
23,3.39
24,3.38
25,3.37
26,3.37
27,3.37
28,3.35
29,3.32
30,3.31
31,3.29
32,3.29
33,3.28
34,3.28
35,3.27
36,3.25
37,3.23
38,3.21
39,3.20
40,3.20
41,3.19
42,3.19
43,3.19
44,3.19
45,3.18
46,3.17
47,3.14
48,3.14
49,3.12
50,3.08
51,3.06
52,3.04
53,3.04
54,3.03
55,3.02
56,3.02
57,3.02
58,2.99
59,2.98
60,2.94
61,2.92
62,2.92
63,2.91
64,2.90
65,2.90
66,2.88
67,2.86
68,2.80
69,2.80
70,2.79
71,2.78
72,2.76
73,2.76
74,2.72
75,2.72
76,2.71
77,2.70
78,2.68
79,2.66
80,2.65
81,2.65
82,2.65
83,2.65
84,2.64
85,2.64
86,2.60
87,2.59
88,2.54
89,2.53
90,2.53
91,2.53
92,2.51
93,2.49
94,2.49
95,2.49
96,2.47
97,2.44
98,2.43
99,2.42
100,2.42
101,2.38
102,2.35
103,2.34
104,2.34
105,2.33
106,2.33
107,2.30
108,2.27
109,2.24
110,2.22
111,2.21
112,2.20
113,2.20
114,2.18
115,2.18
116,2.16
117,2.16
118,2.11
119,2.08
120,2.03
121,2.02
122,2.01
123,1.99
124,1.95
125,1.94
126,1.92
127,1.90
128,1.89
129,1.88
130,1.84
131,1.81
132,1.80
133,1.78
134,1.78
135,1.77
136,1.71
137,1.59
138,1.59
139,1.48
140,1.26
141,1.24
142,1.22
143,0.94
